OLS,LASSO,Ridge,ElasticNet
0.18578859327332617,0.20305318563467775,0.2098118022216085,0.20441695610991401
0.19785185760832247,0.20945573763232647,0.21425541627698613,0.21031861606385344
0.19785185760832247,0.20945573763232647,0.21425541627698613,0.21031861606385344
0.2038402529858839,0.21113992209139168,0.21423546787938824,0.21110090643962931
0.2038402529858839,0.21113992209139168,0.21423546787938824,0.21110090643962931
0.2059431901729652,0.21233666307597035,0.21492287625281276,0.21232457239519142
0.2059431901729652,0.21233666307597035,0.21492287625281276,0.21232457239519142
0.20862558054018235,0.21469277025568981,0.21746076227291569,0.21479569740236965
0.20862558054018235,0.21469277025568981,0.21746076227291569,0.21479569740236965
0.20986232946158453,0.21473674210357016,0.21748910001060359,0.21484970724832772
